"Province","Sex","age4","Conteo"
1,1,1,54969
2,1,1,73469
3,1,1,343269
4,1,1,148745
5,1,1,25788
6,1,1,123014
7,1,1,249907
8,1,1,1051808
9,1,1,58775
10,1,1,67287
11,1,1,239312
12,1,1,103665
13,1,1,91839
14,1,1,144868
15,1,1,182514
16,1,1,36360
17,1,1,145282
18,1,1,177865
19,1,1,51496
20,1,1,118413
21,1,1,102625
22,1,1,39571
23,1,1,117821
24,1,1,71056
25,1,1,82874
26,1,1,54806
27,1,1,50255
28,1,1,1265758
29,1,1,315482
30,1,1,303506
31,1,1,117873
32,1,1,45324
33,1,1,155679
34,1,1,25272
35,1,1,227665
36,1,1,162739
37,1,1,51667
38,1,1,210122
39,1,1,98724
40,1,1,26578
41,1,1,373290
42,1,1,14992
43,1,1,151663
44,1,1,23115
45,1,1,135828
46,1,1,469924
47,1,1,84857
48,1,1,184235
49,1,1,25487
50,1,1,172052
51,1,1,17329
52,1,1,17094
1,6,1,54756
2,6,1,68351
3,6,1,331382
4,6,1,135913
5,6,1,24282
6,6,1,119644
7,6,1,241690
8,6,1,1045566
9,6,1,54679
10,6,1,62755
11,6,1,232708
12,6,1,100750
13,6,1,85429
14,6,1,138998
15,6,1,180273
16,6,1,33152
17,6,1,140733
18,6,1,170207
19,6,1,49133
20,6,1,116892
21,6,1,100473
22,6,1,35670
23,6,1,110526
24,6,1,67859
25,6,1,75084
26,6,1,54236
27,6,1,48519
28,6,1,1294004
29,6,1,316046
30,6,1,286349
31,6,1,115185
32,6,1,43978
33,6,1,152955
34,6,1,24096
35,6,1,227557
36,6,1,158591
37,6,1,50293
38,6,1,208612
39,6,1,95834
40,6,1,24969
41,6,1,367974
42,6,1,13796
43,6,1,146144
44,6,1,21056
45,6,1,126535
46,6,1,460337
47,6,1,82952
48,6,1,182577
49,6,1,23647
50,6,1,168783
51,6,1,16718
52,6,1,17132
1,1,2,26718
2,1,2,31361
3,1,2,153174
4,1,2,56600
5,1,2,12386
6,1,2,52338
7,1,2,104062
8,1,2,449195
9,1,2,28896
10,1,2,30323
11,1,2,103825
12,1,2,48225
13,1,2,37939
14,1,2,59641
15,1,2,89735
16,1,2,15940
17,1,2,61388
18,1,2,72195
19,1,2,23699
20,1,2,57384
21,1,2,42891
22,1,2,17953
23,1,2,48414
24,1,2,35132
25,1,2,36783
26,1,2,25536
27,1,2,24419
28,1,2,539978
29,1,2,137034
30,1,2,122961
31,1,2,53015
32,1,2,22452
33,1,2,82249
34,1,2,12306
35,1,2,105490
36,1,2,77888
37,1,2,24675
38,1,2,95752
39,1,2,47631
40,1,2,12678
41,1,2,158756
42,1,2,7172
43,1,2,66756
44,1,2,10280
45,1,2,57208
46,1,2,211630
47,1,2,43299
48,1,2,91040
49,1,2,12543
50,1,2,79503
51,1,2,6356
52,1,2,5327
1,6,2,26339
2,6,2,30604
3,6,2,149563
4,6,2,54158
5,6,2,11814
6,6,2,51713
7,6,2,97306
8,6,2,451456
9,6,2,27203
10,6,2,29318
11,6,2,101439
12,6,2,46529
13,6,2,37529
14,6,2,60280
15,6,2,93196
16,6,2,14628
17,6,2,58929
18,6,2,71734
19,6,2,21480
20,6,2,56145
21,6,2,44216
22,6,2,16390
23,6,2,47112
24,6,2,35189
25,6,2,32376
26,6,2,24694
27,6,2,24855
28,6,2,565075
29,6,2,138462
30,6,2,117128
31,6,2,51397
32,6,2,22647
33,6,2,83598
34,6,2,11614
35,6,2,101453
36,6,2,78315
37,6,2,25383
38,6,2,93718
39,6,2,47509
40,6,2,11846
41,6,2,160641
42,6,2,6415
43,6,2,63056
44,6,2,9544
45,6,2,53949
46,6,2,208894
47,6,2,42899
48,6,2,92008
49,6,2,12100
50,6,2,77459
51,6,2,5708
52,6,2,5459
1,1,3,22502
2,1,3,27675
3,1,3,128288
4,1,3,45261
5,1,3,12926
6,1,3,48810
7,1,3,76167
8,1,3,341870
9,1,3,27831
10,1,3,31612
11,1,3,85739
12,1,3,39051
13,1,3,35734
14,1,3,55336
15,1,3,77484
16,1,3,15396
17,1,3,50607
18,1,3,63448
19,1,3,17822
20,1,3,49981
21,1,3,34040
22,1,3,16409
23,1,3,46797
24,1,3,36799
25,1,3,30362
26,1,3,22106
27,1,3,24713
28,1,3,406318
29,1,3,110600
30,1,3,93030
31,1,3,44066
32,1,3,21890
33,1,3,78076
34,1,3,13366
35,1,3,80447
36,1,3,62642
37,1,3,25405
38,1,3,75057
39,1,3,42830
40,1,3,12291
41,1,3,123782
42,1,3,7276
43,1,3,53033
44,1,3,10683
45,1,3,46421
46,1,3,169844
47,1,3,36913
48,1,3,83064
49,1,3,14240
50,1,3,66376
51,1,3,5466
52,1,3,5221
1,6,3,23975
2,6,3,27528
3,6,3,132989
4,6,3,45401
5,6,3,11828
6,6,3,47753
7,6,3,76901
8,6,3,371389
9,6,3,26548
10,6,3,30067
11,6,3,87307
12,6,3,38993
13,6,3,35538
14,6,3,57523
15,6,3,83428
16,6,3,14029
17,6,3,50672
18,6,3,65654
19,6,3,16477
20,6,3,52282
21,6,3,35234
22,6,3,15523
23,6,3,46762
24,6,3,37038
25,6,3,28689
26,6,3,22279
27,6,3,24955
28,6,3,457168
29,6,3,117407
30,6,3,94914
31,6,3,44087
32,6,3,23004
33,6,3,84553
34,6,3,13166
35,6,3,79894
36,6,3,67680
37,6,3,25551
38,6,3,77630
39,6,3,44627
40,6,3,11289
41,6,3,131524
42,6,3,6436
43,6,3,53733
44,6,3,9463
45,6,3,44554
46,6,3,179893
47,6,3,39237
48,6,3,89414
49,6,3,13270
50,6,3,67865
51,6,3,5134
52,6,3,4811
1,1,4,32021
2,1,4,33545
3,1,4,175765
4,1,4,51407
5,1,4,19013
6,1,4,58708
7,1,4,89077
8,1,4,461812
9,1,4,39170
10,1,4,40343
11,1,4,96320
12,1,4,51403
13,1,4,43299
14,1,4,66051
15,1,4,120446
16,1,4,20281
17,1,4,65333
18,1,4,74898
19,1,4,19796
20,1,4,71055
21,1,4,40375
22,1,4,22812
23,1,4,53376
24,1,4,54220
25,1,4,38447
26,1,4,30215
27,1,4,42524
28,1,4,507516
29,1,4,137593
30,1,4,107583
31,1,4,58865
32,1,4,42128
33,1,4,112649
34,1,4,18509
35,1,4,83720
36,1,4,93302
37,1,4,38717
38,1,4,89281
39,1,4,56879
40,1,4,15717
41,1,4,141962
42,1,4,10443
43,1,4,72378
44,1,4,14876
45,1,4,57793
46,1,4,215954
47,1,4,53886
48,1,4,113025
49,1,4,23804
50,1,4,89266
51,1,4,4884
52,1,4,4357
1,6,4,39955
2,6,4,41555
3,6,4,211907
4,6,4,61674
5,6,4,21840
6,6,4,74069
7,6,4,109135
8,6,4,629559
9,6,4,46568
10,6,4,49687
11,6,4,119100
12,6,4,63458
13,6,4,56374
14,6,4,87778
15,6,4,162158
16,6,4,24481
17,6,4,79235
18,6,4,94980
19,6,4,22956
20,6,4,93976
21,6,4,50283
22,6,4,27459
23,6,4,69297
24,6,4,70569
25,6,4,47521
26,6,4,37570
27,6,4,53523
28,6,4,713777
29,6,4,167904
30,6,4,135924
31,6,4,73582
32,6,4,54169
33,6,4,155401
34,6,4,22697
35,6,4,99644
36,6,4,125529
37,6,4,49127
38,6,4,108882
39,6,4,75436
40,6,4,18877
41,6,4,190261
42,6,4,12078
43,6,4,87782
44,6,4,17212
45,6,4,69480
46,6,4,287361
47,6,4,68511
48,6,4,155695
49,6,4,28582
50,6,4,118578
51,6,4,5790
52,6,4,5170
